College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,image
Indian Institute of Technology Madras ,Tamil nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,/images/Indian_Institute_of_Technology_Madras.png
"College of Engineering, Anna University ",Tamil nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,"/images/College_of_Engineering,_Anna_University.png"
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,"/images/NIT_Trichy,_Tiruchirappalli.png"
Vellore Institute of Technology ,Tamil nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,/images/Vellore_Institute_of_Technology.png
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3,"/images/SRM_Engineering_College,_Kanchipuram.png"
SSN College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,/images/SSN_College_of_Engineering.png
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,"/images/SASTRA_University,_Thanjavur.png"
P.S.G College of Technology ,Tamil nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,/images/P.S.G_College_of_Technology.png
Thiagarajar College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,/images/Thiagarajar_College_of_Engineering.png
Coimbatore Institute of Technology ,Tamil nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,/images/Coimbatore_Institute_of_Technology.png
